Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81760362013327LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20131123081718_20131123090306.01,LT8BPF20131123081324_20131123090359.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/11/23,2013:327:08:23:59.4501220,2013:327:08:24:31.2201180,9,40.51,32.72045822,160.51073123,5.507,5.345,180,4,Y,LPGS_2.6.2,34°36'39.31"N,33°06'41.83"E,35°39'45.94"N,32°19'55.45"E,35°16'20.10"N,34°22'31.66"E,33°32'42.36"N,33°52'02.60"E,33°56'06.32"N,31°51'57.78"E,34.61092,33.11162,35.66276,32.33207,35.27225,34.37546,33.5451,33.86739,33.93509,31.86605,LC81760362013327LGN00,LC81760362013327LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013327LGN00
LC81760362013295LGN01, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20131022081220_20131022084408.01,LT8BPF20131022080826_20131022084501.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/22,2013:295:08:24:12.0643280,2013:295:08:24:43.8343240,9,.12,41.67915964,157.55973215,5.164,4.753,317,4,Y,LPGS_2.6.2,34°36'38.30"N,33°06'27.97"E,35°39'45.25"N,32°19'43.28"E,35°16'19.31"N,34°22'16.93"E,33°32'41.14"N,33°51'46.94"E,33°56'05.10"N,31°51'44.89"E,34.61064,33.10777,35.66257,32.32869,35.27203,34.37137,33.54476,33.86304,33.93475,31.86247,LC81760362013295LGN01,LC81760362013295LGN01,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013295LGN01
LC81760362013279LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20131006081138_20131006084413.01,LT8BPF20131006080744_20131006084506.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/06,2013:279:08:24:17.4686900,2013:279:08:24:49.2386860,9,5.87,46.93540899,153.54778662,5.751,5.224,262,4,Y,LPGS_2.6.2,34°36'38.63"N,33°06'16.20"E,35°39'45.50"N,32°19'29.75"E,35°16'18.52"N,34°22'06.92"E,33°32'41.35"N,33°51'36.83"E,33°56'06.36"N,31°51'31.32"E,34.61073,33.1045,35.66264,32.32493,35.27181,34.36859,33.54482,33.86023,33.9351,31.8587,LC81760362013279LGN00,LC81760362013279LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013279LGN00
LC81760362013247LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130904080923_20130904084334.02,LT8BPF20130904080529_20130904084427.02,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/04,2013:247:08:24:26.2752360,2013:247:08:24:58.0452320,9,3.5,56.75871853,140.68783565,5.372,4.875,259,4,Y,LPGS_2.6.2,34°36'38.05"N,33°05'36.35"E,35°39'45.00"N,32°18'47.74"E,35°16'16.43"N,34°21'29.63"E,33°32'40.78"N,33°50'58.99"E,33°56'07.40"N,31°50'48.70"E,34.61057,33.09343,35.6625,32.31326,35.27123,34.35823,33.54466,33.84972,33.93539,31.84686,LC81760362013247LGN00,LC81760362013247LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013247LGN00
LC81760362013231LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130819080946_20130819084309.01,LT8BPF20130819080552_20130819084402.01,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/19,2013:231:08:24:25.5430480,2013:231:08:24:57.3130440,9,2.93,60.70344746,132.70293592,5.51,4.893,265,4,Y,LPGS_2.6.2,34°36'37.80"N,33°06'11.23"E,35°39'44.93"N,32°19'23.77"E,35°16'16.46"N,34°22'03.72"E,33°32'40.45"N,33°51'32.76"E,33°56'06.97"N,31°51'24.23"E,34.6105,33.10312,35.66248,32.32327,35.27124,34.3677,33.54457,33.8591,33.93527,31.85673,LC81760362013231LGN00,LC81760362013231LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013231LGN00
LC81760362013215LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130803081209_20130803084420.01,LT8BPF20130803080815_20130803084513.01,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/03,2013:215:08:24:24.5815690,2013:215:08:24:56.3515650,9,5.64,63.84056333,124.91254139,5.344,4.891,260,4,Y,LPGS_2.6.2,34°36'39.10"N,33°06'35.71"E,35°39'46.40"N,32°19'50.63"E,35°16'18.59"N,34°22'26.62"E,33°32'41.42"N,33°51'55.19"E,33°56'07.33"N,31°51'50.58"E,34.61086,33.10992,35.66289,32.33073,35.27183,34.37406,33.54484,33.86533,33.93537,31.86405,LC81760362013215LGN00,LC81760362013215LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013215LGN00
LC81760362013199LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130718080943_20130718084418.01,LT8BPF20130718080549_20130718084511.02,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/18,2013:199:08:24:22.2951720,2013:199:08:24:54.0651670,9,13.56,66.20495037,118.64564488,5.376,5.282,156,4,Y,LPGS_2.6.2,34°36'39.13"N,33°07'07.46"E,35°39'46.66"N,32°20'24.68"E,35°16'19.52"N,34°22'56.57"E,33°32'41.17"N,33°52'24.78"E,33°56'06.32"N,31°52'24.31"E,34.61087,33.11874,35.66296,32.34019,35.27209,34.38238,33.54477,33.87355,33.93509,31.87342,LC81760362013199LGN00,LC81760362013199LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013199LGN00
LC81760362013183LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130702080944_20130702084418.01,LT8BPF20130702080550_20130702084511.02,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/02,2013:183:08:24:22.6702250,2013:183:08:24:54.4402210,9,2.15,67.85270484,115.28112866,5.081,5.126,269,4,Y,LPGS_2.6.2,34°36'38.16"N,33°06'49.97"E,35°39'45.76"N,32°20'07.15"E,35°16'18.48"N,34°22'39.11"E,33°32'40.31"N,33°52'07.14"E,33°56'05.57"N,31°52'06.67"E,34.6106,33.11388,35.66271,32.33532,35.2718,34.37753,33.54453,33.86865,33.93488,31.86852,LC81760362013183LGN00,LC81760362013183LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013183LGN00
LC81760362013167LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130616080946_20130616084416.01,LT8BPF20130616080552_20130616084508.02,L8CPF20130401_20130627.08,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/06/16,2013:167:08:24:22.9760590,2013:167:08:24:52.7720790,9,4.32,68.67228119,115.74024928,5.233,5.547,230,4,Y,LPGS_2.6.2,34°36'38.92"N,33°06'38.95"E,35°36'13.00"N,32°18'56.12"E,35°12'45.65"N,34°21'25.92"E,33°36'14.04"N,33°52'59.45"E,33°59'40.38"N,31°52'51.17"E,34.61081,33.11082,35.60361,32.31559,35.21268,34.3572,33.6039,33.88318,33.99455,31.88088,LC81760362013167LGN00,LC81760362013167LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013167LGN00
LC81760362013151LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130531080926_20130531082712.01,LT8BPF20130531080533_20130531082804.01,L8CPF20130401_20130627.08,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/05/31,2013:151:08:24:28.3978820,2013:151:08:24:58.1939020,9,3.66,68.36260278,119.92442915,5.404,5.147,262,4,Y,LPGS_2.6.2,34°36'38.92"N,33°04'51.35"E,35°36'13.07"N,32°17'05.71"E,35°12'44.60"N,34°19'40.58"E,33°36'14.22"N,33°51'14.36"E,33°59'41.68"N,31°51'01.01"E,34.61081,33.08093,35.60363,32.28492,35.21239,34.32794,33.60395,33.85399,33.99491,31.85028,LC81760362013151LGN00,LC81760362013151LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013151LGN00
LC81760362013135LGN01, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130515080922_20130515084352.01,LT8BPF20130515080529_20130515084444.01,L8CPF20130401_20130627.08,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/05/15,2013:135:08:24:23.3071460,2013:135:08:24:53.1031660,9,10.96,66.5446939,126.26958654,5.293,5.379,144,4,Y,LPGS_2.6.2,34°36'39.13"N,33°05'35.12"E,35°36'13.10"N,32°17'48.16"E,35°12'44.06"N,34°20'25.73"E,33°36'14.40"N,33°51'59.80"E,33°59'42.47"N,31°51'43.67"E,34.61087,33.09309,35.60364,32.29671,35.21224,34.34048,33.604,33.86661,33.99513,31.86213,LC81760362013135LGN01,LC81760362013135LGN01,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013135LGN01
LC81760362013119LGN01, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130429081134_20130429084404.01,LT8BPF20130429080740_20130429084456.01,L8CPF20130401_20130627.08,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/04/29,2013:119:08:24:11.2718070,2013:119:08:24:41.0678270,9,.04,63.10610543,132.69191738,5.132,4.543,308,4,Y,LPGS_2.6.2,34°36'37.94"N,33°07'58.76"E,35°36'12.02"N,32°20'12.62"E,35°12'43.16"N,34°22'48.65"E,33°36'13.14"N,33°54'22.46"E,33°59'41.10"N,31°54'07.74"E,34.61054,33.13299,35.60334,32.33684,35.21199,34.38018,33.60365,33.90624,33.99475,31.90215,LC81760362013119LGN01,LC81760362013119LGN01,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013119LGN01
LC81760362013103LGN01, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20130413081422_20130413084406.01,LT8BPF20130413081028_20130413084458.01,L8CPF20130401_20130627.08,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/04/13,2013:103:08:24:13.0617970,2013:103:08:24:42.8578180,9,9.14,58.28933898,137.95281109,5.407,4.745,307,4,Y,LPGS_2.6.2,34°36'37.76"N,33°07'22.22"E,35°36'13.03"N,32°19'39.65"E,35°12'42.23"N,34°22'11.60"E,33°36'11.81"N,33°53'42.22"E,33°59'41.64"N,31°53'31.38"E,34.61049,33.12284,35.60362,32.32768,35.21173,34.36989,33.60328,33.89506,33.9949,31.89205,LC81760362013103LGN01,LC81760362013103LGN01,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013103LGN01
